,FVG,Top,Bottom,MitigatedIndex,Respected,StatusIndex
642,,,,,,0
643,,,,,,0
644,,,,,,0
645,,,,,,0
646,,,,,,0
647,,,,,,0
648,,,,,,0
649,,,,,,0
650,,,,,,0
651,,,,,,0
652,,,,,,0
653,,,,,,0
654,,,,,,0
655,,,,,,0
656,,,,,,0
657,,,,,,0
658,,,,,,0
659,1.0,343.14001,341.049988,737.0,False,758
660,1.0,344.049988,343.44,686.0,False,737
661,,,,,,0
662,,,,,,0
663,,,,,,0
664,,,,,,0
665,1.0,346.181,345.94971,671.0,False,683
666,,,,,,0
667,,,,,,0
668,,,,,,0
669,,,,,,0
670,,,,,,0
671,,,,,,0
672,,,,,,0
673,,,,,,0
674,1.0,348.42999,347.61899,676.0,False,677
675,,,,,,0
676,,,,,,0
677,,,,,,0
678,,,,,,0
679,,,,,,0
680,,,,,,0
681,,,,,,0
682,,,,,,0
683,,,,,,0
684,,,,,,0
685,,,,,,0
686,-1.0,345.63,345.60001,689.0,False,689
687,,,,,,0
688,,,,,,0
689,1.0,345.95001,345.24991,691.0,False,733
690,,,,,,0
691,,,,,,0
692,,,,,,0
693,,,,,,0
694,,,,,,0
695,,,,,,0
696,1.0,346.38,346.1499,733.0,False,733
697,1.0,346.89999,346.8916,733.0,False,733
698,1.0,347.60999,347.10001,733.0,False,733
699,,,,,,0
700,,,,,,0
701,1.0,349.12,348.88,731.0,False,733
702,,,,,,0
703,1.0,351.1301,349.98001,705.0,False,726
704,,,,,,0
705,,,,,,0
706,,,,,,0
707,,,,,,0
708,,,,,,0
709,,,,,,0
710,1.0,352.35999,352.336,712.0,False,714
711,,,,,,0
712,,,,,,0
713,,,,,,0
714,-1.0,352.34,351.32001,717.0,False,860
715,,,,,,0
716,,,,,,0
717,,,,,,0
718,,,,,,0
719,,,,,,0
720,,,,,,0
721,,,,,,0
722,1.0,351.11011,350.95999,725.0,False,725
723,,,,,,0
724,,,,,,0
725,,,,,,0
726,-1.0,350.75,350.39001,728.0,False,728
727,,,,,,0
728,,,,,,0
729,,,,,,0
730,,,,,,0
731,,,,,,0
732,,,,,,0
733,-1.0,348.09,346.12,753.0,False,860
734,,,,,,0
735,,,,,,0
736,,,,,,0
737,-1.0,344.66,343.13,741.0,False,747
738,,,,,,0
739,,,,,,0
740,1.0,341.86,341.68,758.0,False,758
741,,,,,,0
742,,,,,,0
743,1.0,343.44,343.37,745.0,False,758
744,,,,,,0
745,,,,,,0
746,,,,,,0
747,,,,,,0
748,,,,,,0
749,,,,,,0
750,,,,,,0
751,,,,,,0
752,1.0,345.51,344.45,756.0,False,757
753,1.0,346.025,346.0,755.0,False,755
754,,,,,,0
755,,,,,,0
756,,,,,,0
757,-1.0,344.67001,344.5,860.0,False,860
758,-1.0,343.14999,339.85999,760.0,False,860
759,,,,,,0
760,,,,,,0
761,,,,,,0
762,,,,,,0
763,,,,,,0
764,-1.0,338.64999,336.39999,766.0,False,812
765,,,,,,0
766,,,,,,0
767,,,,,,0
768,,,,,,0
769,-1.0,335.67679,335.56,811.0,False,811
770,-1.0,335.29999,334.17001,772.0,False,811
771,,,,,,0
772,,,,,,0
773,,,,,,0
774,,,,,,0
775,,,,,,0
776,,,,,,0
777,,,,,,0
778,,,,,,0
779,,,,,,0
780,1.0,332.88,332.57999,782.0,False,782
781,,,,,,0
782,,,,,,0
783,,,,,,0
784,,,,,,0
785,,,,,,0
786,,,,,,0
787,,,,,,0
788,-1.0,330.29001,329.32999,792.0,False,798
789,-1.0,328.79999,328.48999,792.0,False,792
790,,,,,,0
791,,,,,,0
792,1.0,329.049988,328.48001,794.0,False,800
793,,,,,,0
794,,,,,,0
795,,,,,,0
796,,,,,,0
797,,,,,,0
798,,,,,,0
799,-1.0,329.78,329.28989,803.0,False,808
800,-1.0,328.64001,328.60001,803.0,False,804
801,,,,,,0
802,,,,,,0
803,,,,,,0
804,,,,,,0
805,,,,,,0
806,,,,,,0
807,,,,,,0
808,,,,,,0
809,,,,,,0
810,1.0,332.049988,331.10001,836.0,True,836
811,1.0,336.01001,334.12,828.0,False,833
812,1.0,338.89999,337.31,826.0,False,827
813,1.0,340.89999,340.47,815.0,False,815
814,,,,,,0
815,,,,,,0
816,,,,,,0
817,,,,,,0
818,,,,,,0
819,,,,,,0
820,,,,,,0
821,,,,,,0
822,,,,,,0
823,,,,,,0
824,-1.0,341.45999,340.98001,860.0,False,860
